Date,US,EU,EM,EQUS,EQEU,EQEM,GOVUS,GOVEU,CBUS,CBEU,REUS,REEU,COM,CASH,SUM,EQUS_av,EQEU_av,EQEM_av,GOVUS_av,GOVEU_av,CBUS_av,CBEU_av,REUS_av,REEU_av,COM_av,CASH_av,Original,Overlay
01-Sep-17,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Oct-17,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Nov-17,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Dec-17,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jan-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Feb-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Mar-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Apr-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-May-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jun-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jul-18,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Aug-18,3,3,4,0.28,0.32,0.09,0,0.02,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Sep-18,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Oct-18,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Nov-18,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Dec-18,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jan-19,3,4,4,0.28,0.29,0.09,0,0.05,0,0,0.05,0.05,0.2,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Feb-19,1,1,8,0.33,0.36,0.02,0,0.09,0.05,0.07,0.05,0.04,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Mar-19,2,1,8,0.33,0.36,0.02,0,0.09,0,0.07,0.05,0.04,0.05,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Apr-19,1,8,8,0.33,0.05,0.02,0,0.38,0.05,0.13,0.05,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-May-19,2,8,1,0.33,0.05,0.12,0,0.29,0,0.1,0.05,0.02,0.05,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jun-19,1,8,1,0.33,0.05,0.12,0,0.29,0.05,0.1,0.05,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jul-19,1,8,8,0.33,0.05,0.02,0,0.38,0.05,0.13,0.05,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Aug-19,1,8,8,0.33,0.05,0.02,0,0.38,0.05,0.13,0.05,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Sep-19,1,8,8,0.33,0.05,0.02,0,0.38,0.05,0.13,0.05,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Oct-19,8,8,8,0.08,0.05,0.02,0.23,0.38,0.13,0.13,0,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Nov-19,8,8,8,0.08,0.05,0.02,0.23,0.38,0.13,0.13,0,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Dec-19,8,8,8,0.08,0.05,0.02,0.23,0.38,0.13,0.13,0,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Jan-20,8,8,1,0.08,0.05,0.12,0.23,0.29,0.13,0.1,0,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Feb-20,8,8,1,0.08,0.05,0.12,0.23,0.29,0.13,0.1,0,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Mar-20,1,8,1,0.33,0.05,0.12,0,0.29,0.05,0.1,0.05,0.02,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
01-Apr-20,1,8,8,0.33,0.05,0.02,0,0.38,0.05,0.13,0.05,0,0,0,100.00%,24.40%,23.80%,9.10%,5.20%,11.50%,3.40%,4.20%,4.10%,3.70%,9.80%,0.70%,,
