,us equity,eu equity,em equity,us gov,eu gov,us corp,eu corp,us real,eu real,comm
01/03/2005,23.55705516,28.08493837,14.14153312,139.2428842,117.4,111.1397,102.9456968,13.25272062,22.57252969,25.00226586
02/03/2005,23.54539613,28.08493837,13.98589407,139.222891,116.91,111.1093,102.7736734,13.16422165,22.3704801,25.24327168
03/03/2005,23.55511199,28.06674275,14.02804328,139.1829045,117.1,111.2509,102.8906493,13.23514374,22.35892339,25.35730187
04/03/2005,23.84853072,28.294188,14.10608119,139.6827354,117.27,111.4531,103.1796487,13.48380126,22.68547819,25.47996236
07/03/2005,23.86018974,28.43065514,14.16300811,139.7926982,117.96,111.6553,103.358553,13.54771718,22.7105397,25.44176867
08/03/2005,23.7708039,28.24869895,14.15005032,139.3328538,117.96,111.1296,103.2071724,13.47150974,22.85969874,25.78945975
09/03/2005,23.50653272,28.13952523,14.16038743,138.543121,117.77,111.1498,102.9869824,13.09047251,22.71981713,25.91055944
10/03/2005,23.55899833,27.83929751,14.02585938,138.8230263,117.23,110.6241,102.9044112,13.17897148,22.57708743,25.81287174
11/03/2005,23.39382884,27.91207999,14.10528043,138.333192,117.3,110.0781,103.0007443,13.03147319,22.58904939,26.08472631
14/03/2005,23.53956662,27.91207999,13.92015877,138.4831413,117.21,110.2399,102.9525777,13.21338774,22.37755881,26.09271394
15/03/2005,23.34524958,28.12132961,13.68415232,138.3431886,117.68,110.6544,103.1934105,13.19617961,22.55381371,26.3973453
16/03/2005,23.14704619,27.67553694,13.65081149,138.5331244,117.6,110.7353,103.1796487,13.03884811,22.37552446,26.55177265
17/03/2005,23.19368228,27.74831942,13.60858948,138.8230263,117.83,110.715,103.0420299,13.17651317,22.11325661,26.43407
18/03/2005,23.1251078,27.79380847,13.60742474,138.5631142,117.73,110.5432,102.9594587,13.12980538,22.01788648,26.3137048
21/03/2005,23.03927796,27.73922161,13.50594633,138.5331244,117.45,110.25,102.7599115,13.04130641,21.89582574,26.05470387
22/03/2005,22.80516479,27.8301997,13.44530679,137.9833104,117.68,110.341,102.8700065,12.80776747,21.9535206,25.93342056
23/03/2005,22.82467422,27.68463475,13.20769881,137.9833104,117.56,109.421,102.6911021,12.78564272,21.47105517,25.42643611
24/03/2005,22.8519952,27.9211778,13.17763383,138.0632833,117.75,109.6535,102.8424828,12.81120909,21.5796876,25.5068632
25/03/2005,22.8519952,27.9211778,13.233396,138.0632833,117.75,109.6535,102.8424828,12.81120909,21.5796876,25.5068632
28/03/2005,22.88514568,27.9211778,13.16045384,137.9033375,117.75,109.6535,102.8424828,12.7465311,21.47951804,25.45324514
29/03/2005,22.73299544,27.99396028,13.00102937,138.1432563,117.7,109.2895,102.8837684,12.75149687,21.53615423,25.61152859
30/03/2005,23.05488162,27.91207999,13.03873799,138.3831751,117.93,109.7911,102.9663396,12.92065282,21.65080833,25.81351442
31/03/2005,23.01195699,27.86659094,13.24693616,138.8430195,118.35,110.0146,103.1865296,12.890809,21.79459751,26.07563695
01/04/2005,22.90856089,27.94847123,13.42761723,139.1329214,118.48,110.2381,103.2622199,12.89828225,21.84041016,26.12512348
04/04/2005,22.94757975,27.74831942,13.29971367,139.2428842,118.64,109.9435,103.358553,12.84105291,21.60727496,25.95371096
05/04/2005,23.05682479,27.94847123,13.31478256,139.1129282,118.59,109.9537,103.3035055,12.81120909,21.70451587,25.8008444
06/04/2005,23.13680569,28.08493837,13.3773876,139.3128605,118.75,110.3397,103.365434,12.87836998,21.8810157,25.82095117
07/04/2005,23.26165439,28.2032099,13.42900036,139.0729417,119.13,110.5125,103.5856239,12.99528695,22.02919663,25.4779425
08/04/2005,23.01976853,28.23960114,13.42448698,138.9929688,118.95,109.913,103.468648,12.93559931,22.06410682,25.22812275
11/04/2005,23.03731536,28.13952523,13.39682428,139.3128605,119.12,110.0756,103.5443383,12.94803833,22.29447613,25.36326963
12/04/2005,23.15631512,28.02125371,13.36697769,139.8726711,119.07,110.0959,103.578743,13.12216005,22.20488354,25.07048198
13/04/2005,22.88320251,28.14862304,13.40963648,139.8326846,119.07,110.929,103.6613142,13.13708196,22.39391495,24.72986041
14/04/2005,22.58473153,28.08493837,13.14407462,139.9626407,119.27,110.9087,103.5581002,13.01271633,22.073547,24.69497195
15/04/2005,22.2686943,27.52997199,12.96929007,140.5424445,119.69,110.6344,103.6062668,13.10972103,22.10414356,24.62244067
18/04/2005,22.3369773,26.98410341,12.74318394,140.7523734,119.76,111.4574,103.7163617,13.08983335,22.01105027,24.47921435
19/04/2005,22.51450535,27.06598369,12.9051563,141.1122517,119.99,111.2643,103.7782902,13.15451134,22.35282035,25.08838527
20/04/2005,22.20041129,26.95680998,12.93005272,141.0322787,119.93,111.4777,103.7782902,13.12216005,22.40018073,25.28770857
21/04/2005,22.63154251,27.02959246,12.96885329,140.4524749,119.73,111.5285,103.8470995,13.11967717,22.43679895,25.25419728
22/04/2005,22.54571267,27.23884208,13.0235963,140.7723667,119.73,111.0205,103.8746233,13.22167223,22.42223304,25.40862463
25/04/2005,22.69397658,27.34801579,13.08969558,140.8523396,120.05,111.4066,103.9847183,13.36595013,22.42329171,25.41725494
26/04/2005,22.47352389,27.32982017,13.13555742,140.7723667,120.1,111.4777,103.9847183,13.38335493,22.37235169,25.42101922
27/04/2005,22.56131633,27.01139684,13.02534342,140.9822956,120.02,111.9091,104.1154561,13.48783288,22.18543601,24.84444147
28/04/2005,22.27844901,26.8840275,12.87232505,141.4621333,120.36,112.0927,104.1842655,13.45550617,22.07183652,24.74409123
29/04/2005,22.58082576,26.91132093,12.89132495,141.2222145,120.33,112.0927,104.232432,13.63461825,22.35127506,24.55422455
02/05/2005,22.70763706,27.1660596,12.93929788,141.3521705,120.5,112.0927,104.232432,13.62466212,22.24727931,24.60462919
03/05/2005,22.74663649,27.28433113,12.94817906,141.2821942,120.55,111.9397,104.3356461,13.6445498,22.36120267,24.19863766
04/05/2005,22.92222138,27.4480917,13.16860706,141.3221806,120.35,111.7561,104.2049083,13.65698882,22.45665335,24.29403007
